tweet_id,twitter_handle,tweet_text,iata_airline,like_count,created_at
1589007031360696320,PaulRiley11,Terrible airline Qatar airways is. Cancelled second leg of connecting flight through Doha book me onto flight eight hours later = 10h connection. Seems original flight wasn’t cancelled. Shoddy treatment lies no explanation or apology. Just treat passengers badly @qatarairways,QR,0,2022-11-05 21:29:33+00:00
1588544065465114625,NarainAB,@LiveFromALounge @British_Airways @JM_Scindia Are foreign airlines coming to India supposed to serve only beef to their customers. Yesterday BA flight LHR/BOM only had option of beef sandwich in Biz class. Crew were very rude. Take it or eat nothing. Govt should look into this.,BA,0,2022-11-04 14:49:53+00:00
1587369108638765056,WhatTheBearSays,"@paul_worton @SimonCalder @HeadForPoints @British_Airways @traveloneworld That's my point, no airline loyalty if they're going to base on spend rather than flight numbers. There is already a cost component to points levels but now it's primary, get the cashback with a rewards credit card/bank that offers lounge access or discounted Priority Pass etc.",BA,0,2022-11-01 09:01:02+00:00
1587292345321619458,Politicos__,"@RefaatAlMazrou @British_Airways Refaat, your aren’t likely to get any help from this airline. Particularly from start of Covid19, they are shockingly bad. Much of there front facing and on flight crew are invariably tired, visibly unhappy or angry and group up against a reasonably upset passenger. Avoid it.",BA,0,2022-11-01 03:56:00+00:00
1586779335750725633,PE37300459,@billykembo @talkmorem11 @nickmangwana @PeterMupondi @flyethiopian @FlyAirZimbabwe @ortambo_int @CityofBulawayo @fastjet @Gatwick_Airport @flysaa @emirates @qatarairways Tsambe that was the yesteryear.I need you To be in to 2022 soon 2023! When @British_Airways withdrew flights to HRE after a 100 yrs of flying there that was the hallmark decision to be used  by any international airline to decide to fly DIRECTLY to ZIM or not. https://t.co/6bFubMz3o6,QR,0,2022-10-30 17:57:29+00:00
1586476005262516224,AndyBrown1969,"@StevenPeterJon2 @British_Airways @pamsterhamster Steven, Pam - system is now back up and working for me and been able to book flight on the app (was very close to just going with another airline!) As you both said, so frustrating that no acknowledgement of issue or thanks to good customers in highlighting. 👍",BA,0,2022-10-29 21:52:09+00:00
1586403032677306369,BarkerLondra,"@British_Airways is there an issue with the website? I am trying to book a flight since yesterday! We need to plan a whole trip around this and tickets are selling out.
Should we wait until tomorrow or look into other airlines?",BA,0,2022-10-29 17:02:11+00:00
1586337111757627392,stuart_fenton,"Have flown @British_Airways as my main carrier for 30 years or so.  However, these last few flights have been on @emirates. Initially, it was the price advantage - but now I recognise that it is so much better an airline in every way.",BA,0,2022-10-29 12:40:14+00:00
1585308401407381512,queenbabg,@British_Airways worst airline experience ever ! I got sick with Covid and till this day have not received a refund on my flight or a voucher after being promised I can have my flight dates changed that was in august it’s October!!,BA,2,2022-10-26 16:32:31+00:00
1584133405700403200,Zedellbee,"@British_Airways Morning! I am looking to book a flight with BA but have always opted for purchasing a second seat when flying with other airlines. Can you confirm if you likewise refer to these as ""comfort seats"" or whether differently terminology is used?",BA,0,2022-10-23 10:43:30+00:00
